Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",hiccup toothless discover ice cave home hundred new wild dragon mysterious dragon rider two friend find center battle protect peace,positive,2
The Big Short,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,group investor bet u mortgage market research discover flawed corrupt market,negative,0
Kokuhaku,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,psychological thriller grieving mother turned coldblooded avenger twisty master plan pay back responsible daughter death,positive,1
Ang-ma-reul bo-at-da,A secret agent exacts revenge on a serial killer through a series of captures and releases.,secret agent exacts revenge serial killer series capture release,negative,0
The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",journalist mikael blomkvist aided search woman missing forty year lisbeth salander young computer hacker,negative,0
Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",true story captain richard phillips hijacking somali pirate usflagged mv maersk alabama first american cargo ship hijacked two hundred year,positive,2
Ajeossi,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,quiet pawnshop keeper violent past take drugandorgan trafficking ring hope saving child friend,negative,0
Straight Outta Compton,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",rap group nwa emerges mean street compton los angeles california mids revolutionizes hip hop culture music tale life hood,negative,0
Madeo,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,mother desperately search killer framed son girl horrific murder,negative,0
Chugyeokja,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,disgraced expoliceman run small ring prostitute find race time one woman go missing,negative,0
The Hobbit: The Desolation of Smaug,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",dwarf along bilbo baggins gandalf grey continue quest reclaim erebor homeland smaug bilbo baggins possession mysterious magical ring,positive,2
Das weiße Band - Eine deutsche Kindergeschichte,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",strange event happen small village north germany year world war seem ritual punishment responsible,negative,0
Män som hatar kvinnor,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,journalist aided young female hacker search killer woman dead forty year,negative,0
The Trial of the Chicago 7,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",story people trial stemming various charge surrounding uprising democratic national convention chicago illinois,neutral,1
Druk,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",four friend high school teacher test theory improve life maintaining constant level alcohol blood,positive,2
The Fighter,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",based story micky ward fledgling boxer try escape shadow famous troubled older boxing brother get shot greatness,positive,2
Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",retired cia agent travel across europe relies old skill save estranged daughter kidnapped trip paris,positive,2
The Boy in the Striped Pyjamas,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",innocent eye bruno eightyearold son commandant german concentration camp forbidden friendship jewish boy side camp fence startling unexpected consequence,positive,2
